measurement_id,sample_id,replicate_id,sensor_id,target_bacterium,species_code,sensor_state,sensor_state_code,contamination_status,surface_type,sensor_lot,experimental_batch,operator_id,measurement_date,incubation_time_h,incubation_temperature_C,sample_mean_cfu_mL,sample_log10_mean_cfu_mL,qc_flag
EC_001_R1_0,EC_001,1,L01-EC_001-R1,Escherichia coli,EC,carbon_clean,0,1,Polietileno de alta densidade,L01,B06,OP01,2026-08-06,4.1,38.4,7166666.667,6.8553,PASS
EC_001_R1_1,EC_001,1,L01-EC_001-R1,Escherichia coli,EC,capture_probe,1,1,Polietileno de alta densidade,L01,B06,OP01,2026-08-06,4.1,38.4,7166666.667,6.8553,PASS
EC_001_R1_2,EC_001,1,L01-EC_001-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polietileno de alta densidade,L01,B06,OP01,2026-08-06,4.1,38.4,7166666.667,6.8553,PASS
EC_001_R2_0,EC_001,2,L01-EC_001-R2,Escherichia coli,EC,carbon_clean,0,1,Polietileno de alta densidade,L01,B06,OP01,2026-08-06,4.1,38.4,7166666.667,6.8553,PASS
EC_001_R2_1,EC_001,2,L01-EC_001-R2,Escherichia coli,EC,capture_probe,1,1,Polietileno de alta densidade,L01,B06,OP01,2026-08-06,4.1,38.4,7166666.667,6.8553,PASS
EC_001_R2_2,EC_001,2,L01-EC_001-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polietileno de alta densidade,L01,B06,OP01,2026-08-06,4.1,38.4,7166666.667,6.8553,PASS
EC_001_R3_0,EC_001,3,L01-EC_001-R3,Escherichia coli,EC,carbon_clean,0,1,Polietileno de alta densidade,L01,B06,OP01,2026-08-06,4.1,38.4,7166666.667,6.8553,PASS
EC_001_R3_1,EC_001,3,L01-EC_001-R3,Escherichia coli,EC,capture_probe,1,1,Polietileno de alta densidade,L01,B06,OP01,2026-08-06,4.1,38.4,7166666.667,6.8553,PASS
EC_001_R3_2,EC_001,3,L01-EC_001-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polietileno de alta densidade,L01,B06,OP01,2026-08-06,4.1,38.4,7166666.667,6.8553,PASS
EC_002_R1_0,EC_002,1,L04-EC_002-R1,Escherichia coli,EC,carbon_clean,0,1,Vidro,L04,B09,OP03,2026-08-29,4.22,36.2,4400000.0,6.6435,PASS
EC_002_R1_1,EC_002,1,L04-EC_002-R1,Escherichia coli,EC,capture_probe,1,1,Vidro,L04,B09,OP03,2026-08-29,4.22,36.2,4400000.0,6.6435,PASS
EC_002_R1_2,EC_002,1,L04-EC_002-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Vidro,L04,B09,OP03,2026-08-29,4.22,36.2,4400000.0,6.6435,PASS
EC_002_R2_0,EC_002,2,L04-EC_002-R2,Escherichia coli,EC,carbon_clean,0,1,Vidro,L04,B09,OP03,2026-08-29,4.22,36.2,4400000.0,6.6435,PASS
EC_002_R2_1,EC_002,2,L04-EC_002-R2,Escherichia coli,EC,capture_probe,1,1,Vidro,L04,B09,OP03,2026-08-29,4.22,36.2,4400000.0,6.6435,PASS
EC_002_R2_2,EC_002,2,L04-EC_002-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Vidro,L04,B09,OP03,2026-08-29,4.22,36.2,4400000.0,6.6435,PASS
EC_002_R3_0,EC_002,3,L04-EC_002-R3,Escherichia coli,EC,carbon_clean,0,1,Vidro,L04,B09,OP03,2026-08-29,4.22,36.2,4400000.0,6.6435,PASS
EC_002_R3_1,EC_002,3,L04-EC_002-R3,Escherichia coli,EC,capture_probe,1,1,Vidro,L04,B09,OP03,2026-08-29,4.22,36.2,4400000.0,6.6435,PASS
EC_002_R3_2,EC_002,3,L04-EC_002-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Vidro,L04,B09,OP03,2026-08-29,4.22,36.2,4400000.0,6.6435,PASS
EC_003_R1_0,EC_003,1,L05-EC_003-R1,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L05,B03,OP03,2026-08-01,3.86,37.7,2150000.0,6.3324,PASS
EC_003_R1_1,EC_003,1,L05-EC_003-R1,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L05,B03,OP03,2026-08-01,3.86,37.7,2150000.0,6.3324,PASS
EC_003_R1_2,EC_003,1,L05-EC_003-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L05,B03,OP03,2026-08-01,3.86,37.7,2150000.0,6.3324,PASS
EC_003_R2_0,EC_003,2,L05-EC_003-R2,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L05,B03,OP03,2026-08-01,3.86,37.7,2150000.0,6.3324,PASS
EC_003_R2_1,EC_003,2,L05-EC_003-R2,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L05,B03,OP03,2026-08-01,3.86,37.7,2150000.0,6.3324,PASS
EC_003_R2_2,EC_003,2,L05-EC_003-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L05,B03,OP03,2026-08-01,3.86,37.7,2150000.0,6.3324,PASS
EC_003_R3_0,EC_003,3,L05-EC_003-R3,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L05,B03,OP03,2026-08-01,3.86,37.7,2150000.0,6.3324,PASS
EC_003_R3_1,EC_003,3,L05-EC_003-R3,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L05,B03,OP03,2026-08-01,3.86,37.7,2150000.0,6.3324,PASS
EC_003_R3_2,EC_003,3,L05-EC_003-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L05,B03,OP03,2026-08-01,3.86,37.7,2150000.0,6.3324,PASS
EC_004_R1_0,EC_004,1,L02-EC_004-R1,Escherichia coli,EC,carbon_clean,0,0,Aço inoxidável 304,L02,B06,OP02,2026-08-07,3.56,37.1,3.333,0.5229,PASS
EC_004_R1_1,EC_004,1,L02-EC_004-R1,Escherichia coli,EC,capture_probe,1,0,Aço inoxidável 304,L02,B06,OP02,2026-08-07,3.56,37.1,3.333,0.5229,FAIL
EC_004_R1_2,EC_004,1,L02-EC_004-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,0,Aço inoxidável 304,L02,B06,OP02,2026-08-07,3.56,37.1,3.333,0.5229,PASS
EC_004_R2_0,EC_004,2,L02-EC_004-R2,Escherichia coli,EC,carbon_clean,0,0,Aço inoxidável 304,L02,B06,OP02,2026-08-07,3.56,37.1,3.333,0.5229,REVIEW
EC_004_R2_1,EC_004,2,L02-EC_004-R2,Escherichia coli,EC,capture_probe,1,0,Aço inoxidável 304,L02,B06,OP02,2026-08-07,3.56,37.1,3.333,0.5229,PASS
EC_004_R2_2,EC_004,2,L02-EC_004-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,0,Aço inoxidável 304,L02,B06,OP02,2026-08-07,3.56,37.1,3.333,0.5229,PASS
EC_004_R3_0,EC_004,3,L02-EC_004-R3,Escherichia coli,EC,carbon_clean,0,0,Aço inoxidável 304,L02,B06,OP02,2026-08-07,3.56,37.1,3.333,0.5229,PASS
EC_004_R3_1,EC_004,3,L02-EC_004-R3,Escherichia coli,EC,capture_probe,1,0,Aço inoxidável 304,L02,B06,OP02,2026-08-07,3.56,37.1,3.333,0.5229,PASS
EC_004_R3_2,EC_004,3,L02-EC_004-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,0,Aço inoxidável 304,L02,B06,OP02,2026-08-07,3.56,37.1,3.333,0.5229,PASS
EC_005_R1_0,EC_005,1,L01-EC_005-R1,Escherichia coli,EC,carbon_clean,0,1,Vidro,L01,B02,OP02,2026-09-02,4.21,36.7,3666.667,3.5643,PASS
EC_005_R1_1,EC_005,1,L01-EC_005-R1,Escherichia coli,EC,capture_probe,1,1,Vidro,L01,B02,OP02,2026-09-02,4.21,36.7,3666.667,3.5643,PASS
EC_005_R1_2,EC_005,1,L01-EC_005-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Vidro,L01,B02,OP02,2026-09-02,4.21,36.7,3666.667,3.5643,PASS
