sample_id,plating_replicate_id,target_bacterium,contamination_status,plated_volume_mL,dilution_exponent,dilution_label,colony_count,plating_qualifier,calculated_cfu_mL,log10_cfu_mL
EC_001,1,Escherichia coli,1,0.1,4,10^-4,74,Contável,7400000.0,6.8692
EC_001,2,Escherichia coli,1,0.1,4,10^-4,73,Contável,7300000.0,6.8633
EC_001,3,Escherichia coli,1,0.1,4,10^-4,68,Contável,6800000.0,6.8325
EC_002,1,Escherichia coli,1,0.1,4,10^-4,48,Contável,4800000.0,6.6812
EC_002,2,Escherichia coli,1,0.1,4,10^-4,41,Contável,4100000.0,6.6128
EC_002,3,Escherichia coli,1,0.1,4,10^-4,43,Contável,4300000.0,6.6335
EC_003,1,Escherichia coli,1,0.1,3,10^-3,217,Contável,2170000.0,6.3365
EC_003,2,Escherichia coli,1,0.1,3,10^-3,199,Contável,1990000.0,6.2989
EC_003,3,Escherichia coli,1,0.1,3,10^-3,229,Contável,2290000.0,6.3598
EC_004,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_004,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_004,3,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_005,1,Escherichia coli,1,0.1,1,10^-1,25,Abaixo da faixa contável,2500.0,3.3979
EC_005,2,Escherichia coli,1,0.1,1,10^-1,42,Contável,4200.0,3.6232
EC_005,3,Escherichia coli,1,0.1,1,10^-1,43,Contável,4300.0,3.6335
EC_006,1,Escherichia coli,1,0.1,3,10^-3,72,Contável,720000.0,5.8573
EC_006,2,Escherichia coli,1,0.1,3,10^-3,54,Contável,540000.0,5.7324
EC_006,3,Escherichia coli,1,0.1,3,10^-3,38,Contável,380000.0,5.5798
EC_007,1,Escherichia coli,1,0.1,1,10^-1,150,Contável,15000.0,4.1761
EC_007,2,Escherichia coli,1,0.1,1,10^-1,134,Contável,13400.0,4.1271
EC_007,3,Escherichia coli,1,0.1,1,10^-1,171,Contável,17100.0,4.233
EC_008,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_008,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_008,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_009,1,Escherichia coli,1,0.1,2,10^-2,317,Acima da faixa contável,317000.0,5.5011
EC_009,2,Escherichia coli,1,0.1,2,10^-2,319,Acima da faixa contável,319000.0,5.5038
EC_009,3,Escherichia coli,1,0.1,2,10^-2,297,Contável,297000.0,5.4728
EC_010,1,Escherichia coli,1,0.1,4,10^-4,61,Contável,6100000.0,6.7853
EC_010,2,Escherichia coli,1,0.1,4,10^-4,60,Contável,6000000.0,6.7782
EC_010,3,Escherichia coli,1,0.1,4,10^-4,76,Contável,7600000.0,6.8808
EC_011,1,Escherichia coli,1,0.1,3,10^-3,238,Contável,2380000.0,6.3766
EC_011,2,Escherichia coli,1,0.1,3,10^-3,283,Contável,2830000.0,6.4518
EC_011,3,Escherichia coli,1,0.1,4,10^-4,27,Abaixo da faixa contável,2700000.0,6.4314
EC_012,1,Escherichia coli,1,0.1,2,10^-2,66,Contável,66000.0,4.8195
EC_012,2,Escherichia coli,1,0.1,2,10^-2,90,Contável,90000.0,4.9542
EC_012,3,Escherichia coli,1,0.1,2,10^-2,66,Contável,66000.0,4.8195
EC_013,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_013,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_013,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_014,1,Escherichia coli,1,0.1,1,10^-1,149,Contável,14900.0,4.1732
EC_014,2,Escherichia coli,1,0.1,1,10^-1,124,Contável,12400.0,4.0934
EC_014,3,Escherichia coli,1,0.1,1,10^-1,142,Contável,14200.0,4.1523
EC_015,1,Escherichia coli,1,0.1,4,10^-4,48,Contável,4800000.0,6.6812
EC_015,2,Escherichia coli,1,0.1,4,10^-4,48,Contável,4800000.0,6.6812
EC_015,3,Escherichia coli,1,0.1,4,10^-4,59,Contável,5900000.0,6.7709
EC_016,1,Escherichia coli,1,0.1,1,10^-1,197,Contável,19700.0,4.2945
EC_016,2,Escherichia coli,1,0.1,1,10^-1,181,Contável,18100.0,4.2577
EC_016,3,Escherichia coli,1,0.1,1,10^-1,175,Contável,17500.0,4.243
EC_017,1,Escherichia coli,1,0.1,0,10^-0,298,Contável,2980.0,3.4742
EC_017,2,Escherichia coli,1,0.1,1,10^-1,35,Contável,3500.0,3.5441
EC_017,3,Escherichia coli,1,0.1,1,10^-1,32,Contável,3200.0,3.5051
EC_018,1,Escherichia coli,1,0.1,1,10^-1,150,Contável,15000.0,4.1761
EC_018,2,Escherichia coli,1,0.1,1,10^-1,127,Contável,12700.0,4.1038
EC_018,3,Escherichia coli,1,0.1,1,10^-1,137,Contável,13700.0,4.1367
EC_019,1,Escherichia coli,1,0.1,1,10^-1,122,Contável,12200.0,4.0864
EC_019,2,Escherichia coli,1,0.1,1,10^-1,117,Contável,11700.0,4.0682
EC_019,3,Escherichia coli,1,0.1,1,10^-1,128,Contável,12800.0,4.1072
EC_020,1,Escherichia coli,1,0.1,4,10^-4,76,Contável,7600000.0,6.8808
EC_020,2,Escherichia coli,1,0.1,4,10^-4,64,Contável,6400000.0,6.8062
EC_020,3,Escherichia coli,1,0.1,4,10^-4,87,Contável,8700000.0,6.9395
EC_021,1,Escherichia coli,1,0.1,4,10^-4,202,Contável,20200000.0,7.3054
EC_021,2,Escherichia coli,1,0.1,4,10^-4,176,Contável,17600000.0,7.2455
EC_021,3,Escherichia coli,1,0.1,4,10^-4,167,Contável,16700000.0,7.2227
EC_022,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_022,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_022,3,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_023,1,Escherichia coli,1,0.1,1,10^-1,51,Contável,5100.0,3.7076
EC_023,2,Escherichia coli,1,0.1,1,10^-1,51,Contável,5100.0,3.7076
EC_023,3,Escherichia coli,1,0.1,1,10^-1,47,Contável,4700.0,3.6721
