arquivo/variável,descrição,uso sugerido
metadata_3_estagios.csv,"Metadados associados às medições eletroquímicas, incluindo identificação de amostra, replicata, bactéria-alvo, estágio do sensor e informações experimentais.","Relacionar as medições de DPV às respectivas amostras e condições experimentais."
dpv_voltammograms_long_3_estagios.csv,"Voltamogramas completos de pulso diferencial em formato longo, contendo identificação da medição, potencial aplicado e corrente medida.","Leitura, validação, visualização e transformação dos voltamogramas para análise e modelagem."
plaqueamento_triplicatas.csv,"Resultados microbiológicos de referência obtidos por plaqueamento em triplicata.","Relacionar os resultados microbiológicos às respectivas amostras."
measurement_id,"Identificador único de cada medição eletroquímica.","Chave de relacionamento entre arquivos."
sample_id,"Identificador da amostra independente.","Rastreabilidade e agrupamento das medições da mesma amostra."
replicate_id,"Identificador da replicata técnica do sensor.","Relacionar medições realizadas em replicatas da mesma amostra."
target_bacterium,"Bactéria-alvo associada ao conjunto experimental.","Estratificação e análise dos dados por bactéria."
sensor_state,"Condição do sensor no momento da medição.","Diferenciar os três estágios experimentais."
sensor_state_code,"Código do estágio: 0 = carbono limpo; 1 = carbono + oligonucleotídeo de captura; 2 = carbono + oligonucleotídeo de captura após contato com a amostra/alvo 16S.","Identificação objetiva das três condições experimentais."
contamination_status,"Classe de referência da amostra: 0 = não contaminada; 1 = contaminada.","Variável-alvo para classificação."
potential_V,"Potencial aplicado durante a medição de DPV, em volts.","Eixo de potencial do voltamograma."
current_uA,"Corrente registrada durante a medição de DPV, em microampères.","Sinal eletroquímico utilizado na análise e na construção das features."
qc_flag,"Indicador de qualidade da medição: PASS, REVIEW ou FAIL.","Avaliação da qualidade e consistência dos dados."
colony_count,"Número de colônias observado no plaqueamento.","Resultado microbiológico de referência."
calculated_cfu_mL,"Estimativa de UFC/mL calculada a partir do plaqueamento.","Quantificação microbiológica de referência."
log10_cfu_mL,"Carga bacteriana expressa como log10 UFC/mL, quando aplicável.","Análise quantitativa complementar."
