sample_id,target_bacterium,contamination_status,sensor_lot,experimental_batch,sample_mean_cfu_ml,sample_log10_mean_cfu_ml,plating_cfu_ml_mean,plating_log10_cfu_ml_mean,plating_replicate_count
EC_001,Escherichia coli,1,L01,B06,7166666.667,6.8553,7166666.666666667,6.8549999999999995,3
EC_002,Escherichia coli,1,L04,B09,4400000.0,6.6435,4400000.0,6.642499999999999,3
EC_003,Escherichia coli,1,L05,B03,2150000.0,6.3324,2150000.0,6.331733333333333,3
EC_004,Escherichia coli,0,L02,B06,3.333,0.5229,3.3333333333333335,1.0,3
EC_005,Escherichia coli,1,L01,B02,3666.667,3.5643,3666.6666666666665,3.5515333333333334,3
EC_006,Escherichia coli,1,L01,B10,546666.667,5.7377,546666.6666666666,5.723166666666667,3
EC_007,Escherichia coli,1,L01,B05,15166.667,4.1809,15166.666666666666,4.178733333333334,3
EC_008,Escherichia coli,0,L03,B03,0.0,,0.0,,3
EC_009,Escherichia coli,1,L02,B03,311000.0,5.4928,311000.0,5.492566666666666,3
EC_010,Escherichia coli,1,L05,B06,6566666.667,6.8173,6566666.666666667,6.814766666666666,3
EC_011,Escherichia coli,1,L02,B02,2636666.667,6.4211,2636666.6666666665,6.419933333333333,3
EC_012,Escherichia coli,1,L04,B07,74000.0,4.8692,74000.0,4.8644,3
EC_013,Escherichia coli,0,L04,B07,0.0,,0.0,,3
EC_014,Escherichia coli,1,L02,B06,13833.333,4.1409,13833.333333333334,4.139633333333333,3
EC_015,Escherichia coli,1,L02,B04,5166666.667,6.7132,5166666.666666667,6.711099999999999,3
EC_016,Escherichia coli,1,L04,B10,18433.333,4.2656,18433.333333333332,4.265066666666667,3
EC_017,Escherichia coli,1,L02,B08,3226.667,3.5088,3226.6666666666665,3.5078,3
EC_018,Escherichia coli,1,L02,B05,13800.0,4.1399,13800.0,4.138866666666666,3
EC_019,Escherichia coli,1,L03,B01,12233.333,4.0875,12233.333333333334,4.087266666666667,3
EC_020,Escherichia coli,1,L02,B04,7566666.667,6.8789,7566666.666666667,6.8755,3
EC_021,Escherichia coli,1,L05,B08,18166666.667,7.2593,18166666.666666668,7.257866666666666,3
EC_022,Escherichia coli,0,L02,B05,3.333,0.5229,3.3333333333333335,1.0,3
EC_023,Escherichia coli,1,L05,B06,4966.667,3.6961,4966.666666666667,3.695766666666666,3
EC_024,Escherichia coli,0,L01,B03,0.0,,0.0,,3
EC_025,Escherichia coli,1,L02,B03,636666.667,5.8039,636666.6666666666,5.8005666666666675,3
EC_026,Escherichia coli,1,L04,B01,1530000.0,6.1847,1530000.0,6.184333333333334,3
EC_027,Escherichia coli,1,L04,B03,500000.0,5.699,500000.0,5.697300000000001,3
EC_028,Escherichia coli,1,L04,B04,2310000.0,6.3636,2310000.0,6.363333333333333,3
EC_029,Escherichia coli,1,L05,B02,596.667,2.7757,596.6666666666666,2.7698666666666667,3
EC_030,Escherichia coli,1,L04,B07,440.0,2.6435,440.0,2.6420666666666666,3
EC_031,Escherichia coli,1,L01,B10,3643333.333,6.5615,3643333.3333333335,6.561466666666667,3
EC_032,Escherichia coli,1,L03,B03,16266.667,4.2113,16266.666666666666,4.2096,3
EC_033,Escherichia coli,1,L04,B01,18900000.0,7.2765,18900000.0,7.2759,3
EC_034,Escherichia coli,1,L01,B08,8000.0,3.9031,8000.0,3.9020333333333332,3
EC_035,Escherichia coli,1,L04,B08,125666.667,5.0992,125666.66666666667,5.099,3
EC_036,Escherichia coli,1,L02,B03,159666.667,5.2032,159666.66666666666,5.2008,3
EC_037,Escherichia coli,1,L05,B05,3466.667,3.5399,3466.6666666666665,3.532133333333333,3
EC_038,Escherichia coli,0,L04,B08,3.333,0.5229,3.3333333333333335,1.0,3
EC_039,Escherichia coli,0,L03,B01,3.333,0.5229,3.3333333333333335,1.0,3
EC_040,Escherichia coli,1,L04,B10,185333.333,5.268,185333.33333333334,5.266933333333333,3
EC_041,Escherichia coli,0,L03,B04,0.0,,0.0,,3
EC_042,Escherichia coli,1,L04,B01,9133333.333,6.9606,9133333.333333334,6.960333333333334,3
EC_043,Escherichia coli,1,L05,B02,1803333.333,6.2561,1803333.3333333333,6.255300000000001,3
EC_044,Escherichia coli,0,L03,B07,0.0,,0.0,,3
EC_045,Escherichia coli,0,L04,B07,6.667,0.8239,6.666666666666667,1.301,3
EC_046,Escherichia coli,1,L01,B01,4066.667,3.6092,4066.6666666666665,3.6087333333333333,3
EC_047,Escherichia coli,0,L04,B05,0.0,,0.0,,3
EC_048,Escherichia coli,1,L03,B06,2103.333,3.3229,2103.3333333333335,3.3229,3
EC_049,Escherichia coli,1,L05,B09,14166666.667,7.1513,14166666.666666666,7.150033333333333,3
EC_050,Escherichia coli,1,L01,B01,4763333.333,6.6779,4763333.333333333,6.6736,3
EC_051,Escherichia coli,1,L03,B09,19133333.333,7.2818,19133333.333333332,7.2817333333333325,3
EC_052,Escherichia coli,1,L03,B04,25200.0,4.4014,25200.0,4.397733333333333,3
EC_053,Escherichia coli,0,L04,B04,0.0,,0.0,,3
EC_054,Escherichia coli,0,L04,B10,0.0,,0.0,,3
EC_055,Escherichia coli,0,L03,B05,3.333,0.5229,3.3333333333333335,1.0,3
EC_056,Escherichia coli,1,L03,B09,16600.0,4.2201,16600.0,4.219266666666667,3
EC_057,Escherichia coli,1,L02,B02,5533.333,3.743,5533.333333333333,3.7402333333333337,3
EC_058,Escherichia coli,0,L02,B06,3.333,0.5229,3.3333333333333335,1.0,3
